date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2019-12-19,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2019-12-19,1,1011.5,1018.4,--,8.5,2.5,7.3,66,2.2,北,,,--,--,,,
2019-12-19,2,1011.9,1018.8,--,8.1,2.4,7.2,67,2.7,北北東,,,--,--,,,
2019-12-19,3,1011.7,1018.7,--,7.0,2.5,7.3,73,2.4,北北西,,,--,--,,0+,20.0
2019-12-19,4,1011.5,1018.5,--,6.6,2.1,7.1,73,2.3,北北西,,,--,--,,,
2019-12-19,5,1011.6,1018.6,--,6.4,2.7,7.4,77,2.2,北北西,,,--,--,,,
2019-12-19,6,1011.7,1018.7,--,6.4,2.7,7.4,77,2.2,北,,,--,--,,7,20.0
2019-12-19,7,1012.4,1019.4,--,6.6,2.7,7.4,76,2.2,北北西,0.0,0.00,--,--,,,
2019-12-19,8,1012.5,1019.5,--,7.0,2.7,7.4,74,2.2,北,0.0,0.13,--,--,,,
2019-12-19,9,1012.9,1019.8,--,8.0,2.3,7.2,67,1.9,北北東,0.0,0.38,--,--,,10-,25.0
2019-12-19,10,×,×,--,×,×,×,×,×,×,×,×,--,--,,,
2019-12-19,11,×,×,--,×,×,×,×,×,×,×,×,--,--,,,
2019-12-19,12,1011.5,1018.4,--,10.8,0.5,6.3,49,1.6,北北西,0.0 ),0.59 ),--,--,,10-,25.0
2019-12-19,13,1010.6,1017.4,--,11.7,1.4,6.7,49,1.5,北,0.1,0.92,--,--,,,
2019-12-19,14,1010.8,1017.6,--,11.7,1.9,7.0,51,1.2,北北西,0.1,0.88,--,--,,,
2019-12-19,15,1010.3,1017.1,--,11.6,1.3,6.7,49,0.7,北北東,0.0,0.40,--,--,,10-,20.0
2019-12-19,16,1010.6,1017.4,--,11.3,1.8,7.0,52,1.0,北東,0.0,0.15,--,--,,,
2019-12-19,17,1011.3,1018.1,--,11.1,2.2,7.1,54,0.3,北,0.0,0.01,--,--,,,
2019-12-19,18,1011.5,1018.3,--,11.2,2.3,7.2,54,1.3,北東,,0.00,--,--,,10-,20.0
2019-12-19,19,1011.6,1018.5,--,10.2,3.9,8.1,65,1.0,北北東,,,--,--,,,
2019-12-19,20,1011.8,1018.7,--,10.5,4.0,8.1,64,1.6,北北東,,,--,--,,,
2019-12-19,21,1012.0,1018.9,--,10.3,4.7,8.5,68,1.8,北北西,,,--,--,,10-,20.0
2019-12-19,22,1011.8,1018.7,--,10.1,4.9,8.7,70,2.6,北北西,,,--,--,,,
2019-12-19,23,1012.1,1019.0,--,10.1,4.9,8.7,70,0.2,静穏,,,--,--,,,
2019-12-19,24,1011.7,1018.6,--,9.7,5.5,9.0,75,2.0,北,,,--,--,,,
